id_izvajalca,izvajalec
1,A Tribe Called Quest
2,ABBA
3,AC/DC
4,Aerosmith
5,Al Green
6,Albert King
7,Alice Cooper
8,Amy Winehouse
9,Arcade Fire
10,Arctic Monkeys
11,Aretha Franklin
12,B.B. King
13,Barry White
14,Beastie Boys
15,Beck
16,Big Brother & the Holding Company
17,Big Star
18,Billy Joel
19,Bjork
20,Black Flag
21,Black Sabbath
22,Blondie
23,"Blood, Sweat & Tears"
24,Bo Diddley
25,Bob Dylan
26,Bob Dylan and the Band
27,Bob Marley & The Wailers
28,"Bobby ""Blue"" Bland"
29,Bonnie Raitt
30,Boz Scaggs
31,Brian Eno
32,Bruce Springsteen
33,Buddy Holly
34,Buffalo Springfield
35,Buzzcocks
36,Captain Beefheart & His Magic Band
37,Carole King
38,Carpenters
39,Cat Stevens
40,Cheap Trick
41,Chuck Berry
42,Coldplay
43,Cream
44,Creedence Clearwater Revival
45,"Crosby, Stills & Nash"
46,"Crosby, Stills, Nash & Young"
47,Curtis Mayfield
48,Curtis Mayfield and The Impressions
49,Cyndi Lauper
50,D'Angelo
51,David Bowie
52,De La Soul
53,Def Leppard
54,Depeche Mode
55,Derek and the Dominos
56,DEVO
57,Diana Ross & The Supremes
58,Dire Straits
59,Dolly Parton
60,Don Henley
61,Dr. Dre
62,Dr. John
63,"Dr. John, the Night Tripper"
64,Dusty Springfield
65,Eagles
66,"Earth, Wind & Fire"
67,Echo and The Bunnymen
68,Elton John
69,Elvis Costello
70,Elvis Costello & The Attractions
71,Elvis Presley
72,Eminem
73,EPMD
74,Eric B. & Rakim
75,Eric Clapton
76,Etta James
77,Eurythmics
78,Fleetwood Mac
79,Frank Sinatra
80,Fugees
81,Funkadelic
82,Gang of Four
83,George Harrison
84,George Michael
85,Graham Parker & The Rumour
86,Gram Parsons
87,Grateful Dead
88,Green Day
89,Guns N' Roses
90,Hank Williams
91,Hole
92,Howlin' Wolf
93,Husker Du
94,Iggy and The Stooges
95,Ike & Tina Turner
96,Jackie Wilson
97,Jackson Browne
98,James Brown
99,James Taylor
100,Jane's Addiction
101,Janet
102,Janet Jackson
103,Janis Joplin
104,Jay Z
105,Jeff Buckley
106,Jefferson Airplane
107,Jerry Lee Lewis
108,Jethro Tull
109,John Coltrane
110,John Lee Hooker
111,John Lennon
112,John Lennon / Plastic Ono Band
113,John Mayall & The Bluesbreakers
114,John Prine
115,Johnny Cash
116,Joni Mitchell
117,Joy Division
118,Kanye West
119,KISS
120,Kraftwerk
121,L.L. Cool J
122,LaBelle
123,Lauryn Hill
124,LCD Soundsystem
125,Led Zeppelin
126,Leonard Cohen
127,Lil Wayne
128,Linda Ronstadt
129,Little Richard
130,Little Walter
131,Liz Phair
132,Loretta Lynn
133,Los Lobos
134,Lou Reed
135,Love
136,Lucinda Williams
137,Lynyrd Skynyrd
138,M.I.A.
139,Madonna
140,Manu Chao
141,Marvin Gaye
142,Mary J. Blige
143,Massive Attack
144,MC5
145,Meat Loaf
146,Merle Haggard
147,Metallica
148,MGMT
149,Michael Jackson
150,Miles Davis
151,Minutemen
152,Moby
153,Moby Grape
154,Mott the Hoople
155,Muddy Waters
156,My Bloody Valentine
157,My Morning Jacket
158,N.W.A
159,Nas
160,Neil Diamond
161,Neil Young
162,Neil Young & Crazy Horse
163,New Order
164,New York Dolls
165,Nick Drake
166,Nine Inch Nails
167,Nirvana
168,Oasis
169,Ornette Coleman
170,Otis Redding
171,OutKast
172,Parliament
173,Patsy Cline
174,Patti Smith
175,Paul McCartney & Wings
176,Paul Simon
177,Pavement
178,Pearl Jam
179,Peter Gabriel
180,Peter Wolf
181,Phil Spector
182,Pink Floyd
183,Pixies
184,PJ Harvey
185,Portishead
186,Pretenders
187,Prince
188,Prince and the Revolution
189,Professor Longhair
190,Public Enemy
191,Public Image Ltd.
192,Queen
193,Quicksilver Messenger Service
194,R.E.M.
195,Radiohead
196,Raekwon
197,Rage Against the Machine
198,Ramones
199,Randy Newman
200,Ray Charles
201,Red Hot Chili Peppers
202,Richard & Linda Thompson
203,Robert Johnson
204,Rod Stewart
205,Roxy Music
206,Run D.M.C.
207,Sam Cooke
208,Santana
209,Sex Pistols
210,Simon & Garfunkel
211,Sinead O'Connor
212,Sleater Kinney
213,Sly & The Family Stone
214,Smokey Robinson & The Miracles
215,Sonic Youth
216,Soundgarden
217,Stan Getz¾/¾Joao Gilberto¾featuring¾Antonio Carlos Jobim
218,Steely Dan
219,Steve Earle
220,Steve Miller Band
221,Stevie Wonder
222,Suicide
223,T. Rex
224,Talking Heads
225,Television
226,The Allman Brothers Band
227,The B 52's
228,The Band
229,The Beach Boys
230,The Beatles
231,The Byrds
232,The Cars
233,The Clash
234,The Crickets
235,The Cure
236,The Doors
237,The Drifters
238,The Flying Burrito Brothers
239,The Go Go's
240,The Grateful Dead
241,The Jesus and Mary Chain
242,The Jimi Hendrix Experience
243,The Kinks
244,The Magnetic Fields
245,The Mamas and the Papas
246,The Meters
247,The Modern Lovers
248,The Mothers of Invention
249,The Notorious B.I.G.
250,The O'Jays
251,The Paul Butterfield Blues Band
252,The Pogues
253,The Police
254,The Replacements
255,The Rolling Stones
256,The Ronettes
257,The Smashing Pumpkins
258,The Smiths
259,The Stone Roses
260,The Stooges
261,The Strokes
262,The Temptations
263,The Velvet Underground
264,The Wailers
265,The White Stripes
266,The Who
267,The Yardbirds
268,The Zombies
269,TLC
270,Todd Rundgren
271,Tom Petty and the Heartbreakers
272,Tom Waits
273,Toots & The Maytals
