naslov_id,mesto,posta,drzava
1,North Battleford,S9A,Canada
2,Atikokan,K1Y,Canada
3,Richmond,23277,United States
4,Las Vegas,89155,United States
5,Rosthern,B0L,Canada
6,White Rock,V4B,Canada
7,La Sarre,J9Z,Canada
8,Oxbow,T9M,Canada
9,Odessa,79764,United States
10,Lancaster,17622,United States
11,Los Angeles,90045,United States
12,Newbiggin,NE46,United Kingdom
13,El Paso,88519,United States
14,New Haven,06510,United States
15,Calgary,T3S,Canada
16,London,W1F,United Kingdom
17,Minneapolis,55446,United States
18,Carson City,89706,United States
19,Whistler,N0K,Canada
20,Rochester,14614,United States
21,Knoxville,37939,United States
22,Canton,44710,United States
23,Washington,20520,United States
24,Saint Louis,63126,United States
25,Magog,J1X,Canada
26,Chicago,60614,United States
27,Beaumont,77705,United States
28,Liverpool,L74,United Kingdom
29,Mount Pearl,A1N,Canada
30,North Vancouver,V7Y,Canada
