soba_id,stevilka_sobe,tip_sobe_id,hotel_id
1,276,8,5
2,215,8,13
3,251,8,16
4,48,8,8
5,285,8,6
6,57,8,9
7,105,8,8
8,103,8,16
9,179,8,15
10,118,8,13
11,57,8,5
12,58,8,1
13,111,8,5
14,253,8,1
15,47,8,9
16,246,8,12
17,105,8,4
18,192,8,10
19,219,8,7
20,142,8,7
21,138,8,8
22,42,8,13
23,94,8,9
24,122,8,7
25,98,8,8
26,213,8,2
27,221,8,3
28,133,8,14
29,197,8,13
30,19,8,3
31,129,8,2
32,2,8,16
33,13,8,7
34,24,8,14
35,4,8,2
36,110,8,10
37,43,8,16
38,63,8,3
39,110,8,5
40,78,8,7
41,272,8,7
42,208,8,16
43,136,8,11
44,36,8,9
45,176,8,11
46,300,8,10
47,34,8,6
48,33,8,9
49,45,8,11
50,212,8,4
51,226,8,12
52,253,8,7
53,87,8,6
54,176,8,13
55,266,8,7
56,163,8,16
57,44,8,1
58,63,8,2
59,133,8,9
60,45,8,8
61,63,8,5
62,47,8,13
63,252,8,12
64,26,8,10
65,248,8,5
66,202,8,16
67,266,8,2
68,52,8,2
69,284,8,16
70,203,8,5
71,203,8,10
72,28,7,5
73,176,7,11
74,71,7,12
75,42,7,9
76,49,7,8
77,155,7,1
78,246,7,14
79,187,7,10
80,236,7,16
81,62,7,12
82,283,7,14
83,64,7,6
84,270,7,9
85,289,7,6
86,29,7,2
87,161,7,12
88,141,7,5
89,155,7,6
90,4,7,12
91,153,7,1
92,137,7,8
93,157,7,5
94,291,7,6
95,228,7,9
96,146,7,11
97,164,7,3
98,92,7,9
99,223,7,13
100,146,7,4
101,169,7,15
102,38,7,4
103,271,7,9
104,64,7,10
105,200,7,3
106,32,7,6
107,171,7,1
108,40,7,2
109,56,7,2
110,137,7,10
111,147,7,12
112,171,7,5
113,225,7,16
114,125,7,8
115,81,7,16
116,164,7,13
117,260,7,8
118,118,7,13
119,246,7,4
120,33,7,16
121,295,7,15
122,172,7,2
123,239,7,14
124,200,7,12
125,105,7,5
126,203,7,10
127,131,7,5
128,237,7,13
129,44,7,16
130,253,7,14
131,3,7,12
132,205,7,3
133,3,7,3
134,68,7,14
135,265,7,13
136,111,7,16
137,278,7,5
138,73,7,5
139,20,7,6
140,178,7,7
141,51,7,7
142,286,7,3
143,193,7,14
144,8,7,11
145,96,7,12
146,158,7,1
147,291,7,5
148,235,7,4
149,34,7,3
150,126,7,14
151,167,6,2
152,292,6,6
153,195,6,2
154,53,6,3
155,300,6,10
156,230,6,3
157,234,6,12
158,16,6,2
159,6,6,9
160,33,6,7
161,54,6,8
162,109,6,10
163,270,6,5
164,133,6,3
165,59,6,3
166,298,6,5
167,204,6,1
168,212,6,15
169,276,6,4
170,299,6,16
171,207,6,4
172,116,6,16
173,70,6,6
174,177,6,6
175,225,6,10
176,143,6,16
177,213,6,13
178,82,6,6
179,114,6,2
180,186,6,1
181,163,6,8
182,52,5,5
183,58,5,12
184,139,5,6
185,87,5,15
186,231,5,13
187,220,5,13
188,258,5,16
189,169,5,5
190,20,5,1
191,100,5,4
192,70,5,1
193,11,5,12
194,39,5,15
195,284,5,15
196,118,5,15
197,215,5,16
198,170,5,1
199,229,5,3
200,252,5,10
201,218,5,5
202,127,5,10
203,172,5,6
204,263,5,2
205,99,5,8
206,255,5,2
207,62,5,9
208,280,5,6
209,84,5,11
210,199,5,9
211,267,5,12
212,225,5,7
213,197,5,5
214,239,5,11
215,127,5,5
216,239,5,12
217,39,4,15
218,189,4,4
219,143,4,6
220,121,4,2
221,244,4,4
222,261,4,2
223,207,4,3
224,203,4,15
225,70,4,6
226,140,4,5
227,198,4,7
228,122,4,3
229,277,4,15
230,186,4,5
231,7,4,11
232,259,4,11
233,153,4,7
234,225,4,11
235,256,4,11
236,25,4,11
237,11,4,5
238,205,4,6
239,109,4,5
240,82,4,12
241,37,4,13
242,289,3,4
243,125,3,13
244,55,3,5
245,240,3,16
246,299,3,14
247,198,3,5
248,63,3,5
249,159,3,4
250,184,3,10
251,132,3,16
252,241,3,13
253,45,3,11
254,223,3,10
255,90,3,4
256,25,3,7
257,165,3,3
258,66,3,10
259,198,3,11
260,229,3,7
261,132,3,12
262,140,3,9
263,242,3,11
264,58,3,1
265,297,2,12
266,220,2,1
267,103,2,5
268,19,2,13
269,284,2,4
270,195,2,10
271,265,2,2
272,100,2,8
273,95,2,2
274,17,2,2
275,300,2,6
276,80,2,12
277,69,2,5
278,203,2,7
279,95,2,1
280,140,2,9
281,202,2,12
282,256,2,12
283,161,2,13
284,92,2,14
285,1,1,13
286,245,1,2
287,82,1,8
288,138,1,7
289,280,1,13
290,101,1,8
291,58,1,8
292,217,1,9
293,153,1,16
294,279,1,8
295,9,1,14
296,239,1,2
297,165,1,7
298,228,1,2
299,42,1,5
300,158,1,15
